client_id,visit_id,process_step,date_time,variation,tenure_years,age
6279810,780185513_97110094577_181899,start,2017-04-27 13:22:33,Control,7.0,71.5
6279810,780185513_97110094577_181899,start,2017-04-27 13:22:33,Control,7.0,71.5
6279810,780185513_97110094577_181899,start,2017-04-27 13:12:24,Control,7.0,71.5
6279810,780185513_97110094577_181899,start,2017-04-27 13:12:24,Control,7.0,71.5
2382409,949724622_57828891880_72944,start,2017-04-28 19:37:15,Control,10.0,67.0
2382409,949724622_57828891880_72944,start,2017-04-28 19:37:15,Control,10.0,67.0
2382409,949724622_57828891880_72944,start,2017-04-28 19:36:51,Control,10.0,67.0
2382409,949724622_57828891880_72944,start,2017-04-28 19:36:51,Control,10.0,67.0
2382409,949724622_57828891880_72944,start,2017-04-28 19:35:23,Control,10.0,67.0
2382409,949724622_57828891880_72944,start,2017-04-28 19:35:23,Control,10.0,67.0
8850142,926601511_2148769553_389270,start,2017-04-28 11:37:37,Control,8.0,24.5
8850142,926601511_2148769553_389270,start,2017-04-28 11:37:37,Control,8.0,24.5
2509051,549862304_68129033843_94245,start,2017-04-28 19:09:01,Control,5.0,64.0
2509051,549862304_68129033843_94245,start,2017-04-28 19:09:01,Control,5.0,64.0
4107255,611819971_32268875514_152600,start,2017-04-12 11:48:36,Control,4.0,25.0
4107255,611819971_32268875514_152600,start,2017-04-12 11:48:36,Control,4.0,25.0
5505977,52534703_56647843029_736173,start,2017-04-27 03:56:42,Control,15.0,46.0
5505977,52534703_56647843029_736173,start,2017-04-27 03:56:42,Control,15.0,46.0
3707462,610535051_32817811912_956591,start,2017-04-28 12:12:34,Test,5.0,22.5
3707462,610535051_32817811912_956591,start,2017-04-28 12:12:34,Test,5.0,22.5
8877399,866501465_89766897941_812659,step_3,2017-04-06 10:57:26,Control,14.0,34.5
8877399,866501465_89766897941_812659,step_3,2017-04-06 10:57:26,Control,14.0,34.5
6692718,222546930_35335635083_623390,step_3,2017-04-04 22:18:38,Control,21.0,54.5
6692718,222546930_35335635083_623390,step_3,2017-04-04 22:18:38,Control,21.0,54.5
9962929,600182621_28747880639_50679,confirm,2017-03-28 14:42:20,Control,15.0,70.5
9962929,600182621_28747880639_50679,confirm,2017-03-28 14:42:20,Control,15.0,70.5
3674578,903490420_16472550859_331141,step_3,2017-04-08 12:16:52,Test,6.0,52.5
3674578,903490420_16472550859_331141,step_3,2017-04-08 12:16:52,Test,6.0,52.5
2355748,245515214_16700742592_801645,start,2017-04-28 12:40:39,Control,18.0,58.5
2355748,245515214_16700742592_801645,start,2017-04-28 12:40:39,Control,18.0,58.5
8390041,377674376_94657113455_978924,confirm,2017-04-02 13:06:01,Control,22.0,49.5
8390041,377674376_94657113455_978924,confirm,2017-04-02 13:06:01,Control,22.0,49.5
8390041,377674376_94657113455_978924,confirm,2017-04-02 13:06:01,Control,22.0,49.5
6971584,997238579_73111761028_448277,start,2017-04-28 09:27:51,Control,12.0,34.0
6971584,997238579_73111761028_448277,start,2017-04-28 09:27:51,Control,12.0,34.0
